id,Name,Author,User Rating,Reviews,Price,Year,Genre,gb_categories,gb_avgRating,gb_ratingsCount,gb_publisher,gb_publishedDate,gb_pageCount,gb_language
1,10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,8,2016,Non Fiction,Cooking,5.0,2.0,Simon and Schuster,2014-07-15,192.0,en
2,11/22/63: A Novel,Stephen King,4.6,2052,22,2011,Fiction,Fiction,,,Simon and Schuster,2011-11-08,880.0,en
3,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,15,2018,Non Fiction,Psychology,4.0,9.0,Random House Canada,2018-01-23,449.0,en
4,1984 (Signet Classics),George Orwell,4.7,21424,6,2017,Fiction,,,,Createspace Independent Publishing Platform,2017-07-26,286.0,en
5,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,12,2019,Non Fiction,,,,,,,
6,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,11,2011,Fiction,Fiction,,,National Geographic Books,2011-07-12,0.0,en
7,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,30,2014,Fiction,,,,,,,
8,A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,15,2017,Fiction,Fiction,5.0,4.0,Penguin,2016-09-06,497.0,en
9,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,3,2018,Non Fiction,Biography & Autobiography,,,Pan Macmillan,2018-04-17,342.0,en
10,A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2016,Fiction,Fiction,,,Simon and Schuster,2022-11-29,368.0,en
11,A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2017,Fiction,Fiction,,,Simon and Schuster,2022-11-29,368.0,en
12,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2,2010,Non Fiction,History,,,Regnery Publishing,2017-06-26,0.0,en
13,A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32,2011,Non Fiction,Biography & Autobiography,3.0,3.0,Simon and Schuster,2012-07-03,293.0,en
14,A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153,5,2018,Fiction,Juvenile Fiction,,,Square Fish,2017-11-07,256.0,en
15,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,5013,17,2009,Non Fiction,Humor,5.0,1.0,Harper Collins,2014-06-03,162.0,en
16,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.5,2313,4,2016,Non Fiction,,,,,,,
17,Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2925,6,2015,Non Fiction,,,,,,,
18,Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2951,6,2015,Non Fiction,,,,,,,
19,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,4.5,2426,8,2015,Non Fiction,,,,,,,
20,Alexander Hamilton,Ron Chernow,4.8,9198,13,2016,Non Fiction,Biography & Autobiography,4.0,10.0,Penguin,2005-03-29,834.0,en
21,All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2014,Fiction,Fiction,,,Simon and Schuster,2023-10-03,560.0,en
22,All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2015,Fiction,Fiction,,,Simon and Schuster,2023-10-03,560.0,en
23,Allegiant,Veronica Roth,3.9,6310,13,2013,Fiction,Young Adult Fiction,3.0,17.0,HarperCollins UK,2013-10-22,404.0,en
24,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921,9,2015,Non Fiction,History,4.0,153.0,Harper Collins,2012-01-03,267.0,en
25,And the Mountains Echoed,Khaled Hosseini,4.3,12159,13,2013,Fiction,Fiction,4.0,3.0,Penguin,2013-05-21,312.0,en
26,Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,5,2009,Non Fiction,Political Science,,,Threshold Editions,2010-09-14,0.0,en
27,Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,9,2017,Non Fiction,Science,4.5,7.0,W. W. Norton & Company,2017-05-02,140.0,en
28,"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,14,2010,Non Fiction,Fiction,,,BoD - Books on Demand,2023-05-29,692.0,en
29,Baby Touch and Feel: Animals,DK,4.6,5360,5,2015,Non Fiction,Juvenile Nonfiction,,,National Geographic Books,2008-01-21,0.0,en
